condition	time	methane	windspeed	current
ON	2026-05-03T02:05:37	2.0510001182556152	4.095875	0.5933125
ON	2026-05-03T02:05:43	2.055999994277954	0.0	0.6113125
ON	2026-05-03T02:05:48	2.0480000972747803	4.0959375	0.61875
ON	2026-05-03T02:05:53	2.052000045776367	0.0	0.611375
ON	2026-05-03T02:05:58	2.055000066757202	4.0959375	0.611
ON	2026-05-03T02:06:03	2.055999994277954	4.0959375	0.6163125
ON	2026-05-03T02:06:08	2.052000045776367	4.095875	0.5748125000000001
ON	2026-05-03T02:06:13	2.057000160217285	4.0959375	0.6104375
ON	2026-05-03T02:06:18	2.059000015258789	0.000125	0.6156875
ON	2026-05-03T02:06:24	2.059000015258789	4.0959375	0.5595625
ON	2026-05-03T02:06:29	2.05400013923645	4.0959375	0.61025
ON	2026-05-03T02:06:34	2.059000015258789	0.0	0.6108125
ON	2026-05-03T02:06:39	2.064000129699707	4.0959375	0.5886250000000001
ON	2026-05-03T02:06:44	2.064000129699707	4.0959375	0.6099375
ON	2026-05-03T02:06:49	2.070000171661377	4.0959375	0.6125625
ON	2026-05-03T02:06:54	2.069000005722046	4.095875	0.5533750000000001
ON	2026-05-03T02:07:00	2.065999984741211	4.095875	0.611
ON	2026-05-03T02:07:05	2.061000108718872	4.0959375	0.6170625
ON	2026-05-03T02:07:10	2.064000129699707	4.0959375	0.5798125000000001
ON	2026-05-03T02:07:15	2.067000150680542	0.0	0.61075
ON	2026-05-03T02:07:20	2.069000005722046	0.0	0.611125
ON	2026-05-03T02:07:25	2.070000171661377	0.0	0.572375
ON	2026-05-03T02:07:30	2.064000129699707	0.0	0.6165625
ON	2026-05-03T02:07:36	2.068000078201294	4.0959375	0.6111875
ON	2026-05-03T02:07:41	2.059000015258789	4.0959375	0.555625
ON	2026-05-03T02:07:46	2.062000036239624	0.0	0.611125
ON	2026-05-03T02:07:51	2.061000108718872	4.0959375	0.6113125
ON	2026-05-03T02:07:56	2.064000129699707	0.0	0.5755625
ON	2026-05-03T02:08:01	2.065999984741211	0.0	0.6114375
ON	2026-05-03T02:08:06	2.064000129699707	0.0	0.6108125
ON	2026-05-03T02:08:11	2.073000192642212	4.0959375	0.556625
ON	2026-05-03T02:08:17	2.068000078201294	0.0	0.61375
ON	2026-05-03T02:08:22	2.068000078201294	0.0	0.612375
OFF	2026-05-03T02:08:27	2.063000202178955	4.0959375	0.32887500000000003
OFF	2026-05-03T02:08:32	2.061000108718872	6.25e-05	0.32975
OFF	2026-05-03T02:08:37	2.059000015258789	4.095875	0.329125
OFF	2026-05-03T02:08:42	2.065999984741211	0.0	0.3288125
OFF	2026-05-03T02:08:47	2.070000171661377	0.0	0.3285
OFF	2026-05-03T02:08:53	2.068000078201294	4.0958125	0.328125
OFF	2026-05-03T02:08:58	2.065000057220459	4.0959375	0.328125
OFF	2026-05-03T02:09:03	2.070000171661377	4.0959375	0.3279375
OFF	2026-05-03T02:09:08	2.062000036239624	4.0959375	0.3274375
